"DATASETIDENTIFIERCODE","ELECTRONICMAILADDRESS","FEATURE","METADATASTANDARDVERSION","OPERATESON","ORGANISATION","SERVICEIDENTIFIERCODE","SERVICETYPE","SORTEDREFS","TITLE","URL"
"","","checkdownloadInspireValidator.feature","","","","93c8762c-4cbb-42b0-9b02-89ef902e8880","","[""TR.incorrectFeedSelfReference"",""TR.missingLinkToMetadataRecordForDownloadService""]","Beschermde gebieden - Provincies (INSPIRE geharmoniseerd) ATOM V1","https://geodata.nationaalgeoregister.nl/provincies/ps/atom/v1/index.xml"
"","","checkdownloadInspireValidator.feature","","","","c21c6bf5-8899-4b46-8986-0f65eca05ed0","","[""TR.missingElement"",""TR.missingElement"",""TR.missingElement"",""TR.missingLinkToMetadataRecordForDownloadService""]","Richtlijn Stedelijk Afvalwater EU2015 ATOM","https://geodata.nationaalgeoregister.nl/rws/richtlijnstedelijkafvalwater2015/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","037e55bd-a1dc-4fde-adfe-4610d3a3d5cb","","[""TR.missingElement"",""TR.missingElement"",""TR.missingElement"",""TR.uniqueDatasetIdentifiers""]","Population Distribution (INSPIRE geharmoniseerd) ATOM","https://service.pdok.nl/cbs/pd/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","d2a05dd5-98e8-4f9c-8ba2-7fe2d5c7c507","","[""TR.incorrectFeedSelfReference"",""TR.missingElement"",""TR.missingElement"",""TR.missingElement""]","Spreiding van soorten - Invasieve Exoten (INSPIRE geharmoniseerd) ATOM V1","https://geodata.nationaalgeoregister.nl/rvo/inspire/invasieve-exoten/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","54122631-d343-40be-9c28-e44626b37a0e","","[""TR.missingElement"",""TR.missingElement"",""TR.missingElement""]","Human Health Statistics Netherlands (INSPIRE geharmoniseerd) ATOM","https://service.pdok.nl/cbs/hh/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","15c3c30f-0db2-4b3b-80f6-b990c8fc8225","","[""TR.missingElement"",""TR.missingElement"",""TR.missingElement"",""TR.missingLinkToRegistry""]","Waterschappen Hydrografie INSPIRE ATOM","https://service.pdok.nl/hwh/hydrografie/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","641a0f48-872b-4470-b130-e3d28e6bfdfb","","[""TR.missingElement"",""TR.missingElement"",""TR.missingElement"",""TR.missingLinkToMetadataRecordForDownloadService""]","Kaderrichtlijn Mariene Strategie EU2018 ATOM","https://geodata.nationaalgeoregister.nl/rws/kaderrichtlijnmarienestrategie2018/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","9ff1a13c-d1e0-4150-8523-91cb489ae1a4","","[""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.fallbackInfo"",""TR.missingElement"",""TR.missingElement"",""TR.missingElement"",""TR.missingElement"",""TR.missingElement"",""TR.missingFeedRootElement"",""TR.missingFeedRootElement"",""TR.missingFeedRootElement"",""TR.missingFeedRootElement"",""TR.missingFeedUpdatedInformation"",""TR.missingLinkToMetadataRecordForDownloadService"",""TR.missingLinkToRegistry"",""TR.missingOneFeedEntryWithDlFile"",""TR.unexpectedHtml"",""TR.uniqueDatasetIdentifiers""]","INSPIRE download service PDOK","https://geodata.nationaalgeoregister.nl/atom/index.xml"
"","","checkdownloadInspireValidator.feature","","","","e91719b1-a139-42cf-8a1a-db78cd7477f8","","[""TR.missingLinkToMetadataRecordForDownloadService""]","Kaderrichtlijn Water EU2009 ATOM","https://geodata.nationaalgeoregister.nl/rws/kaderrichtlijnwater2009/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","e27e61d8-25b1-45ee-a2df-071312ba8a69","","[""TR.missingLinkToMetadataRecordForDownloadService""]","Kaderrichtlijn Water actueel ATOM","https://geodata.nationaalgeoregister.nl/rws/kaderrichtlijnwateractueel/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","ddf33bff-8de3-4cca-b6f5-24d18daa502f","","[""TR.missingLinkToMetadataRecordForDownloadService""]","Kaderrichtlijn Water EU2015 ATOM","https://geodata.nationaalgeoregister.nl/rws/kaderrichtlijnwater2015/atom/v1_0/index.xml"
"","","checkdownloadInspireValidator.feature","","","","e222648d-d19e-4a99-a67d-2af1c9aabd75","","[""TR.missingElement"",""TR.missingElement"",""TR.missingElement""]","Cadastral parcels (INSPIRE geharmoniseerd) ATOM","https://service.pdok.nl/kadaster/cp/atom/v1_0/index.xml"
